Clndrs,Volume,HpX,Model,origin,Lbs-,Acc+,Mpg+
8,304,193,70,1,4732,18.5,10
8,360,215,70,1,4615,14,10
8,307,200,70,1,4376,15,10
8,318,210,70,1,4382,13.5,10
8,429,208,72,1,4633,11,10
8,400,150,73,1,4997,14,10
8,350,180,73,1,3664,11,10
8,383,180,71,1,4955,11.5,10
8,350,160,72,1,4456,13.5,10
8,429,198,73,1,4952,11.5,10
8,455,225,73,1,4951,11,10
8,400,167,73,1,4906,12.5,10
8,350,180,73,1,4499,12.5,10
8,400,170,71,1,4746,12,10
8,400,175,71,1,5140,12,10
8,350,165,72,1,4274,12,10
8,350,155,72,1,4502,13.5,10
8,400,190,72,1,4422,12.5,10
8,307,130,72,1,4098,14,10
8,302,140,72,1,4294,16,10
8,350,175,73,1,4100,13,10
8,350,145,73,1,3988,13,10
8,400,150,73,1,4464,12,10
8,351,158,73,1,4363,13,10
8,440,215,73,1,4735,11,10
8,360,175,73,1,3821,11,10
8,360,170,73,1,4654,13,10
8,350,150,74,1,4699,14.5,10
8,302,129,75,1,3169,12,10
8,318,150,76,1,3940,13.2,10
8,350,145,76,1,4055,12,10
8,302,130,76,1,3870,15,10
8,318,150,76,1,3755,14,10
8,454,220,70,1,4354,9,10
8,440,215,70,1,4312,8.5,10
8,455,225,70,1,4425,10,10
8,340,160,70,1,3609,8,10
8,455,225,70,1,3086,10,10
8,350,165,71,1,4209,12,10
8,400,175,71,1,4464,11.5,10
8,351,153,71,1,4154,13.5,10
8,318,150,71,1,4096,13,10
8,400,175,72,1,4385,12,10
8,351,153,72,1,4129,13,10
8,318,150,72,1,4077,14,10
8,304,150,73,1,3672,11.5,10
8,302,137,73,1,4042,14.5,10
8,318,150,73,1,4237,14.5,10
8,318,150,74,1,4457,13.5,10
8,302,140,74,1,4638,16,10
8,304,150,74,1,4257,15.5,10
8,351,148,75,1,4657,13.5,10
8,351,152,76,1,4215,12.8,10
8,350,165,70,1,3693,11.5,20
8,429,198,70,1,4341,10,20
8,390,190,70,1,3850,8.5,20
8,383,170,70,1,3563,10,20
8,400,150,70,1,3761,9.5,20
8,318,150,72,1,4135,13.5,20
8,304,150,72,1,3892,12.5,20
8,318,150,73,1,3777,12.5,20
8,350,145,73,1,4082,13,20
8,318,150,73,1,3399,11,20
6,250,100,74,1,3336,17,20
6,250,72,75,1,3432,21,20
6,250,72,75,1,3158,19.5,20
8,350,145,75,1,4440,14,20
6,258,110,75,1,3730,19,20
8,302,130,77,1,4295,14.9,20
8,304,120,76,1,3962,13.9,20
8,318,145,77,1,4140,13.7,20
8,350,170,77,1,4165,11.4,20
8,400,190,77,1,4325,12.2,20
8,351,142,79,1,4054,14.3,20
8,304,150,70,1,3433,12,20
6,225,105,71,1,3439,15.5,20
6,250,100,73,1,3278,18,20
8,400,230,73,1,4278,9.5,20
6,250,100,74,1,3781,17,20
6,258,110,74,1,3632,18,20
8,302,140,74,1,4141,14,20
8,400,170,75,1,4668,11.5,20
8,318,150,75,1,4498,14.5,20
6,250,105,75,1,3897,18.5,20
8,318,150,76,1,4190,13,20
8,400,180,77,1,4220,11.1,20
8,351,149,77,1,4335,14.5,20
6,163,133,78,2,3410,15.8,20
6,168,120,76,2,3820,16.7,20
8,350,180,76,1,4380,12.1,20
8,351,138,79,1,3955,13.2,20
8,350,155,79,1,4360,14.9,20
8,302,140,70,1,3449,10.5,20
6,250,100,71,1,3329,15.5,20
8,304,150,72,1,3672,11.5,20
6,231,110,75,1,3907,21,20
8,260,110,77,1,4060,19,20
6,163,125,78,2,3140,13.6,20
8,305,130,79,1,3840,15.4,20
8,305,140,76,1,4215,13,20
6,258,95,76,1,3193,17.8,20
8,305,145,77,1,3880,12.5,20
6,250,110,77,1,3520,16.4,20
8,318,140,78,1,4080,13.7,20
8,302,129,79,1,3725,13.4,20
6,225,85,81,1,3465,16.6,20
6,231,165,78,1,3445,13.4,20
8,307,130,70,1,3504,12,20
8,318,150,70,1,3436,11,20
6,199,97,70,1,2774,15.5,20
6,232,100,71,1,3288,15.5,20
6,258,110,71,1,2962,13.5,20
6,250,88,71,1,3139,14.5,20
4,121,112,72,2,2933,14.5,20
6,225,105,73,1,3121,16.5,20
6,232,100,73,1,2945,16,20
6,250,88,73,1,3021,16.5,20
6,232,100,73,1,2789,15,20
3,70,90,73,3,2124,13.5,20
6,225,105,74,1,3613,16.5,20
6,250,105,75,1,3459,16,20
6,225,95,75,1,3785,19,20
6,171,97,75,1,2984,14.5,20
6,250,78,76,1,3574,21,20
6,258,120,78,1,3410,15.1,20
8,302,139,78,1,3205,11.2,20
8,318,135,79,1,3830,15.2,20
6,250,110,76,1,3645,16.2,20
6,250,98,77,1,3525,19,20
8,360,150,79,1,3940,13,20
6,225,110,78,1,3620,18.7,20
6,232,100,71,1,2634,13,20
6,250,88,71,1,3302,15.5,20
6,250,100,71,1,3282,15,20
3,70,97,72,3,2330,13.5,20
4,122,85,73,1,2310,18.5,20
4,121,112,73,2,2868,15.5,20
6,232,100,74,1,2901,16,20
6,225,95,75,1,3264,16,20
6,232,90,75,1,3211,17,20
4,120,88,76,2,3270,21.9,20
6,156,108,76,3,2930,15.5,20
6,225,100,77,1,3630,17.7,20
6,225,90,80,1,3381,18.7,20
6,231,105,78,1,3535,19.2,20
8,305,145,78,1,3425,13.2,20
8,267,125,79,1,3605,15,20
8,318,140,78,1,3735,13.2,20
6,232,90,78,1,3210,17.2,20
6,200,85,79,1,2990,18.2,20
8,260,110,78,1,3365,15.5,20
4,140,90,72,1,2408,19.5,20
4,97,88,73,3,2279,19,20
4,114,91,73,2,2582,14,20
6,156,122,73,3,2807,13.5,20
6,198,95,74,1,3102,16.5,20
8,262,110,75,1,3221,13.5,20
6,232,100,75,1,2914,16,20
6,225,100,76,1,3651,17.7,20
4,130,102,76,2,3150,15.7,20
8,302,139,78,1,3570,12.8,20
6,200,85,78,1,2965,15.8,20
6,232,90,79,1,3265,18.2,20
6,200,88,81,1,3060,17.1,20
5,131,103,78,2,2830,15.9,20
6,231,105,77,1,3425,16.9,20
6,200,95,78,1,3155,18.2,20
6,225,100,78,1,3430,17.2,20
6,231,105,78,1,3380,15.8,20
6,225,110,79,1,3360,16.6,20
6,200,85,78,1,3070,16.7,20
6,200,85,70,1,2587,16,20
6,199,90,70,1,2648,15,20
4,122,86,72,1,2226,16.5,20
4,120,87,72,2,2979,19.5,20
4,140,72,73,1,2401,19.5,20
6,155,107,73,1,2472,14,20
6,200,?,74,1,2875,17,20
6,231,110,75,1,3039,15,20
4,134,95,78,3,2515,14.8,20
4,121,110,77,2,2600,12.8,20
3,80,110,77,3,2720,13.5,20
6,231,115,79,1,3245,15.4,20
4,121,115,78,2,2795,15.7,20
6,198,95,70,1,2833,15.5,20
4,140,72,71,1,2408,19,20
4,121,76,72,2,2511,18,20
4,122,86,72,1,2395,16,20
4,108,94,73,3,2379,16.5,20
4,121,98,75,2,2945,14.5,20
6,225,100,76,1,3233,15.4,20
6,250,105,76,1,3353,14.5,20
6,146,97,77,3,2815,14.5,20
6,232,112,82,1,2835,14.7,20
4,140,88,79,1,2890,17.3,20
6,231,110,81,1,3415,15.8,20
6,232,90,76,1,3085,17.6,20
4,122,86,71,1,2220,14,20
4,97,54,72,2,2254,23.5,20
4,120,97,72,3,2506,14.5,20
6,198,95,73,1,2904,16,20
4,140,83,75,1,2639,17,20
4,140,78,75,1,2592,18.5,20
4,115,95,75,2,2694,15,20
4,120,88,75,2,2957,17,20
8,350,125,79,1,3900,17.4,20
4,151,?,82,1,3035,20.5,20
4,156,105,78,1,2745,16.7,20
6,173,110,81,1,2725,12.6,20
4,140,?,80,1,2905,14.3,20
3,70,100,80,3,2420,12.5,20
4,151,85,78,1,2855,17.6,20
4,119,97,78,3,2405,14.9,20
8,260,90,79,1,3420,22.2,20
4,113,95,70,3,2372,15,20
4,107,90,70,2,2430,14.5,20
4,113,95,72,3,2278,15.5,20
4,116,75,73,2,2158,15.5,20
4,121,110,73,2,2660,14,20
4,90,75,74,2,2108,15.5,20
4,120,97,74,3,2489,15,20
4,134,96,75,3,2702,13.5,20
4,119,97,75,3,2545,17,20
6,200,81,76,1,3012,17.6,20
4,140,92,82,1,2865,16.4,20
6,146,120,81,3,2930,13.8,20
4,151,90,80,1,3003,20.1,20
4,98,60,76,1,2164,22.1,20
4,151,88,77,1,2740,16,20
4,110,87,70,2,2672,17.5,30
4,104,95,70,2,2375,17.5,30
4,113,95,71,3,2228,14,30
4,98,?,71,1,2046,19,30
4,97.5,80,72,1,2126,17,30
4,140,75,74,1,2542,17,30
4,90,71,75,2,2223,16.5,30
4,121,115,75,2,2671,13.5,30
4,116,81,76,2,2220,16.9,30
4,140,92,76,1,2572,14.9,30
6,181,110,82,1,2945,16.4,30
4,140,88,78,1,2720,15.4,30
5,183,77,79,2,3530,20.1,30
6,168,116,81,3,2900,12.6,30
4,122,96,77,1,2300,15.5,30
4,140,89,77,1,2755,15.8,30
4,156,92,81,1,2620,14.4,30
4,97,46,70,2,1835,20.5,30
4,121,113,70,2,2234,12.5,30
4,91,70,71,1,1955,20.5,30
4,96,69,72,2,2189,18,30
4,97,46,73,2,1950,21,30
4,98,90,73,2,2265,15.5,30
4,122,80,74,1,2451,16.5,30
4,79,67,74,2,1963,15.5,30
4,97,78,74,2,2300,14.5,30
4,116,75,74,2,2246,14,30
4,108,93,74,3,2391,15.5,30
4,98,79,76,1,2255,17.7,30
4,97,75,77,3,2265,18.2,30
4,156,92,82,1,2585,14.5,30
4,140,88,80,1,2870,18.1,30
4,140,72,76,1,2565,13.6,30
4,151,84,81,1,2635,16.4,30
8,350,105,81,1,3725,19,30
6,173,115,79,1,2700,12.9,30
4,97,88,70,3,2130,14.5,30
4,97,88,71,3,2130,14.5,30
4,97,60,71,2,1834,19,30
4,97,88,72,3,2100,16.5,30
4,101,83,76,2,2202,15.3,30
4,112,88,82,1,2640,18.6,30
4,151,90,82,1,2735,18,30
